URL,Pathophysiological Process,Subject,Predicate,Object
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png,Immune_Response_Activation,Activated_T_cells,attack,neurons
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png,Stress-Induced_Epigenetic_Modifications,Stress,induces,epigenetic_modifications
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png,Stress-Induced_Epigenetic_Modifications,Epigenetic_modifications,affect,gene_expression
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png,Stress-Induced_Epigenetic_Modifications,Gene_expression,linked_to,psychiatric_symptoms
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png,Stress-Induced_Epigenetic_Modifications,Stress,activates,HPA_axis
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png,Stress-Induced_Epigenetic_Modifications,HPA_axis,releases,glucocorticoids
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png,Stress-Induced_Epigenetic_Modifications,Glucocorticoids,bind_to,GC_receptors
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs12640-020-00219-8/MediaObjects/12640_2020_219_Fig1_HTML.png,Stress-Induced_Epigenetic_Modifications,GC_receptors,alter,gene_expression
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11033-024-09279-x/MediaObjects/11033_2024_9279_Fig2_HTML.png,Olfactory_Entry,SARS-CoV-2,enters,Olfactory_Epithelium
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11033-024-09279-x/MediaObjects/11033_2024_9279_Fig2_HTML.png,Olfactory_Entry,SARS-CoV-2,travels_through,Cribriform_plate
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11033-024-09279-x/MediaObjects/11033_2024_9279_Fig2_HTML.png,Olfactory_Entry,SARS-CoV-2,reaches,Olfactory_bulb
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11033-024-09279-x/MediaObjects/11033_2024_9279_Fig2_HTML.png,Neuronal_Infection,SARS-CoV-2,infects,neurons
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11033-024-09279-x/MediaObjects/11033_2024_9279_Fig2_HTML.png,Neuronal_Infection,Infected_neurons,recruit,leukocytes
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11033-024-09279-x/MediaObjects/11033_2024_9279_Fig2_HTML.png,Macrophage_Trafficking,Infected_macrophages,traffic_across,BBB
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11033-024-09279-x/MediaObjects/11033_2024_9279_Fig2_HTML.png,BBB_Disruption,SARS-CoV-2,replicates_and_disrupts,BBB
https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs10194-022-01450-8/MediaObjects/10194_2022_1450_Fig1_HTML.png,Persistent_activation_of_the_immune_system,SARS-CoV-2_infection,leads_to,persistent_immune_activation
https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs10194-022-01450-8/MediaObjects/10194_2022_1450_Fig1_HTML.png,Trigeminovascular_system_activation,SARS-CoV-2_infection,activates,trigeminovascular_system
https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs10194-022-01450-8/MediaObjects/10194_2022_1450_Fig1_HTML.png,Predisposing_headache_biology_and_prior_history_of_headache,Prior_headache_history,contributes_to,headache_susceptibility
https://media.springernature.com/lw685/springer-static/image/art%3A10.1186%2Fs10194-022-01450-8/MediaObjects/10194_2022_1450_Fig1_HTML.png,Gray-white_matter_and_functional_connectivity_changes,SARS-CoV-2_infection,causes,gray-white_matter_changes
https://qeios-uploads.s3.eu-west-1.amazonaws.com/editor/f7r5YwRp0BQmTWp3AnGmXRx8JTRQYTgq2XkQLQl9.png,Entry_to_CNS,SARS-CoV-2,enters,olfactory_sensory_neuron
https://qeios-uploads.s3.eu-west-1.amazonaws.com/editor/f7r5YwRp0BQmTWp3AnGmXRx8JTRQYTgq2XkQLQl9.png,Entry_to_CNS,Olfactory_sensory_neuron,transmits,SARS-CoV-2
https://qeios-uploads.s3.eu-west-1.amazonaws.com/editor/f7r5YwRp0BQmTWp3AnGmXRx8JTRQYTgq2XkQLQl9.png,Entry_to_CNS,SARS-CoV-2,reaches,olfactory_bulb
https://qeios-uploads.s3.eu-west-1.amazonaws.com/editor/f7r5YwRp0BQmTWp3AnGmXRx8JTRQYTgq2XkQLQl9.png,Nasopharyngeal_colonization,SARS-CoV-2,infects,epithelial_cells
https://qeios-uploads.s3.eu-west-1.amazonaws.com/editor/f7r5YwRp0BQmTWp3AnGmXRx8JTRQYTgq2XkQLQl9.png,Nasopharyngeal_colonization,Epithelial_cells,allow,SARS-CoV-2_entry
https://qeios-uploads.s3.eu-west-1.amazonaws.com/editor/f7r5YwRp0BQmTWp3AnGmXRx8JTRQYTgq2XkQLQl9.png,Nasopharyngeal_colonization,SARS-CoV-2,spreads_to,cerebrospinal_fluid
https://qeios-uploads.s3.eu-west-1.amazonaws.com/editor/f7r5YwRp0BQmTWp3AnGmXRx8JTRQYTgq2XkQLQl9.png,Neuroinflammation,SARS-CoV-2,binds_to,ACE2_receptor
https://qeios-uploads.s3.eu-west-1.amazonaws.com/editor/f7r5YwRp0BQmTWp3AnGmXRx8JTRQYTgq2XkQLQl9.png,Neuroinflammation,ACE2_receptor,activates,astrocyte
https://qeios-uploads.s3.eu-west-1.amazonaws.com/editor/f7r5YwRp0BQmTWp3AnGmXRx8JTRQYTgq2XkQLQl9.png,Neuroinflammation,Astrocyte,induces,neuroinflammation
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,Prothrombotic_State,SARS-CoV-2_infection,induces,prothrombotic_state
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,Platelet_Activation,Prothrombotic_state,activates,platelets
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,Thrombus_Formation,Activated_platelets,contribute_to,thrombus_formation
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,Ischemia,Thrombus,causes,ischemia
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,Microhemorrhage,Vascular_leakage,leads_to,microhemorrhage
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,Systemic_Inflammatory_Response,SARS-CoV-2_infection,triggers,systemic_inflammatory_response
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,Perivascular_Inflammation,Systemic_inflammatory_response,causes,perivascular_inflammation
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,Cytotoxic_T_Lymphocyte_Activation,Perivascular_inflammation,activates,cytotoxic_T_lymphocytes
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,Autoantibody_Production,Systemic_inflammatory_response,produces,autoantibodies
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,Cytokine_Release,Systemic_inflammatory_response,releases,cytokines
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,Astrocyte_Reactivity,Cytokines,induce,reactive_astrocyte
https://media.springernature.com/lw685/springer-static/image/art%3A10.1007%2Fs11064-022-03709-7/MediaObjects/11064_2022_3709_Fig1_HTML.png,Microglia_Reactivity,Cytokines,induce,reactive_microglia
https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,Neuronal_Retrograde_Route,SARS-CoV-2_infection,affects,olfactory_nerve
https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,Neuronal_Retrograde_Route,SARS-CoV-2_infection,affects,vagus_nerve
https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,Neuronal_Retrograde_Route,SARS-CoV-2_infection,affects,trigeminal_nerve
https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,Hematogenous_Route,SARS-CoV-2_infection,enters,bloodstream
https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,Hematogenous_Route,SARS-CoV-2_infection,causes,hypoxia
https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,Blood-Brain-Barrier,SARS-CoV-2_infection,targets,ACE2
https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,Blood-Brain-Barrier,SARS-CoV-2_infection,crosses,brain_microvascular_endothelial_cells
https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,Microglia_Activation,SARS-CoV-2_infection,activates,microglia
https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,Microglia_Activation,Microglia,leads_to,encephalopathy
https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,Neuron_Impact,SARS-CoV-2_infection,affects,neuron
https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,Neuron_Impact,Neuron,leads_to,cerebrovascular_disease
https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,Astrocyte_Impact,SARS-CoV-2_infection,affects,astrocytes
https://www.frontiersin.org/files/Articles/583459/fneur-11-583459-HTML/image_m/fneur-11-583459-g001.jpg,Astrocyte_Impact,Astrocytes,leads_to,encephalitis
https://pbs.twimg.com/media/GIAwYOoXMAAXvRB.jpg,Persistence_of_viral_RNA_or_protein,SARS-CoV-2,persists_as,viral_RNA_or_protein
https://pbs.twimg.com/media/GIAwYOoXMAAXvRB.jpg,Neuron_and_glial_cell_fusion,SARS-CoV-2,causes,neuron_and_glial_cell_fusion
https://pbs.twimg.com/media/GIAwYOoXMAAXvRB.jpg,Impaired_hypothalamic-pituitary_response,SARS-CoV-2,impairs,hypothalamic-pituitary_response
https://pbs.twimg.com/media/GIAwYOoXMAAXvRB.jpg,Endothelial_inflammation_and_microthrombosis,SARS-CoV-2,induces,endothelial_inflammation_and_microthrombosis
https://pbs.twimg.com/media/GIAwYOoXMAAXvRB.jpg,Cytokine_elevation_and_microglial_reactivity,SARS-CoV-2,elevates,cytokine_levels_and_microglial_reactivity
https://pbs.twimg.com/media/GIAwYOoXMAAXvRB.jpg,Gut_dysbiosis_and_vagal_signaling_dysfunction,SARS-CoV-2,causes,gut_dysbiosis_and_vagal_signaling_dysfunction
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs10787-023-01176-2/MediaObjects/10787_2023_1176_Fig4_HTML.png,Microglia_and_astrocyte_activation,SARS-CoV-2_infection,triggers,microglia_and_astrocyte_activation
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs10787-023-01176-2/MediaObjects/10787_2023_1176_Fig4_HTML.png,Microglia_and_astrocyte_activation,Microglia_and_astrocyte_activation,leads_to,inflammatory_factor_release
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs10787-023-01176-2/MediaObjects/10787_2023_1176_Fig4_HTML.png,BBB_breakdown,SARS-CoV-2_infection,causes,BBB_breakdown
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs10787-023-01176-2/MediaObjects/10787_2023_1176_Fig4_HTML.png,Ca2+_overload,SARS-CoV-2_infection,results_in,Ca2+_overload
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs10787-023-01176-2/MediaObjects/10787_2023_1176_Fig4_HTML.png,Ca2+_overload,Ca2+_overload,causes,membrane_GluN2B_overactivation
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs10787-023-01176-2/MediaObjects/10787_2023_1176_Fig4_HTML.png,Pro-death_signaling_pathway_activation,GluN2B-DAPK1,activates,pro-death_signaling_pathway
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs10787-023-01176-2/MediaObjects/10787_2023_1176_Fig4_HTML.png,Pro-death_signaling_pathway_activation,GluN2B-PTEN,activates,pro-death_signaling_pathway
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs10787-023-01176-2/MediaObjects/10787_2023_1176_Fig4_HTML.png,Pro-death_signaling_pathway_activation,GluN2B-PSD95-nNOS,activates,pro-death_signaling_pathway
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs10787-023-01176-2/MediaObjects/10787_2023_1176_Fig4_HTML.png,Pro-death_signaling_pathway_activation,GluN2B-Src-Panx1,activates,pro-death_signaling_pathway
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs10787-023-01176-2/MediaObjects/10787_2023_1176_Fig4_HTML.png,Mitochondrial_dysfunction,SARS-CoV-2_infection,causes,mitochondrial_dysfunction
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs10787-023-01176-2/MediaObjects/10787_2023_1176_Fig4_HTML.png,Mitochondrial_dysfunction,Mitochondrial_dysfunction,leads_to,impaired_ATP_synthesis
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs10787-023-01176-2/MediaObjects/10787_2023_1176_Fig4_HTML.png,mPTP_opening,Mitochondrial_dysfunction,causes,mPTP_opening
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs10787-023-01176-2/MediaObjects/10787_2023_1176_Fig4_HTML.png,mPTP_opening,mPTP_opening,leads_to,Cyt_C_and_ROS_over-release
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs10787-023-01176-2/MediaObjects/10787_2023_1176_Fig4_HTML.png,Neuronal_apoptosis,Cyt_C_and_ROS_over-release,induces,neuronal_apoptosis
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs10787-023-01176-2/MediaObjects/10787_2023_1176_Fig4_HTML.png,Iron_metabolism_disorders,SARS-CoV-2_infection,causes,iron_metabolism_disorders
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs10787-023-01176-2/MediaObjects/10787_2023_1176_Fig4_HTML.png,Iron_metabolism_disorders,Iron_metabolism_disorders,lead_to,iron_deposition
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs10787-023-01176-2/MediaObjects/10787_2023_1176_Fig4_HTML.png,Lipid_peroxidation,Iron_deposition,causes,lipid_peroxidation
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs10787-023-01176-2/MediaObjects/10787_2023_1176_Fig4_HTML.png,Ferroptosis,Lipid_peroxidation,induces,ferroptosis
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11033-024-09279-x/MediaObjects/11033_2024_9279_Fig5_HTML.png,Cytokine_Storm,PICS_&_chemokines,lead_to,cytokine_storm
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11033-024-09279-x/MediaObjects/11033_2024_9279_Fig5_HTML.png,Cytokine_Storm,Cytokine_storm,activates,free_calcium
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11033-024-09279-x/MediaObjects/11033_2024_9279_Fig5_HTML.png,Cytokine_Storm,Cytokine_storm,disrupts,BBB
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11033-024-09279-x/MediaObjects/11033_2024_9279_Fig5_HTML.png,Apoptosis_of_ECs,Cytokine_storm,causes,apoptosis_of_ECs
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11033-024-09279-x/MediaObjects/11033_2024_9279_Fig5_HTML.png,Apoptosis_of_ECs,Apoptosis_of_ECs,leads_to,vascular_leakage
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11033-024-09279-x/MediaObjects/11033_2024_9279_Fig5_HTML.png,Apoptosis_of_ECs,Apoptosis_of_ECs,leads_to,cerebral_edema
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11033-024-09279-x/MediaObjects/11033_2024_9279_Fig5_HTML.png,Neuroinflammation,SARS-CoV-2_&_cytokines,reach,CNS
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11033-024-09279-x/MediaObjects/11033_2024_9279_Fig5_HTML.png,Neuroinflammation,Microglia_&_IL-1_activation,causes,neuroinflammation
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs11033-024-09279-x/MediaObjects/11033_2024_9279_Fig5_HTML.png,Neural_Tissue_Damage,Neuroinflammation,causes,neural_tissue_damage
https://www.spandidos-publications.com/article_images/etm/23/1/etm-23-01-11030-g01.jpg,Direct_neurotropism_of_SARS-CoV-2,SARS-CoV-2,affects,CNS
https://www.spandidos-publications.com/article_images/etm/23/1/etm-23-01-11030-g01.jpg,Neuroinflammation/Neurodegeneration,SARS-CoV-2,causes,neuroinflammation
https://www.spandidos-publications.com/article_images/etm/23/1/etm-23-01-11030-g01.jpg,Neuroinflammation/Neurodegeneration,SARS-CoV-2,leads_to,neurodegeneration
https://www.spandidos-publications.com/article_images/etm/23/1/etm-23-01-11030-g01.jpg,Neurotransmitter_dysregulation,SARS-CoV-2,disrupts,serotonin
https://www.spandidos-publications.com/article_images/etm/23/1/etm-23-01-11030-g01.jpg,Neurotransmitter_dysregulation,SARS-CoV-2,disrupts,glutamate
https://www.spandidos-publications.com/article_images/etm/23/1/etm-23-01-11030-g01.jpg,Neurotransmitter_dysregulation,SARS-CoV-2,disrupts,GABA
https://www.spandidos-publications.com/article_images/etm/23/1/etm-23-01-11030-g01.jpg,Dysfunction_of_cortical_networks_and_subcortical_brain_structures,SARS-CoV-2,impairs,cortical_networks
https://www.spandidos-publications.com/article_images/etm/23/1/etm-23-01-11030-g01.jpg,Dysfunction_of_cortical_networks_and_subcortical_brain_structures,SARS-CoV-2,impairs,subcortical_brain_structures
https://www.spandidos-publications.com/article_images/etm/23/1/etm-23-01-11030-g01.jpg,Hypothalamic–pituitary–adrenal_axis,SARS-CoV-2,affects,hypothalamic–pituitary–adrenal_axis
https://www.spandidos-publications.com/article_images/etm/23/1/etm-23-01-11030-g01.jpg,Brain-gut_axis,SARS-CoV-2,influences,brain-gut_axis
https://neurosciencenews.com/files/2022/09/covid-brain-neurosicnes.jpg,Neuroinflammation,SARS-CoV-2_infection,invites,inflammatory_cells
https://neurosciencenews.com/files/2022/09/covid-brain-neurosicnes.jpg,Neuroinflammation,Inflammatory_cells,activate,brain's_own_immune_cells
https://neurosciencenews.com/files/2022/09/covid-brain-neurosicnes.jpg,SARS-CoV-2_spike_protein_or_fragments,SARS-CoV-2_spike_protein,enters,brain
https://neurosciencenews.com/files/2022/09/covid-brain-neurosicnes.jpg,SARS-CoV-2_spike_protein_or_fragments,SARS-CoV-2_spike_protein,initiates,inflammation
https://neurosciencenews.com/files/2022/09/covid-brain-neurosicnes.jpg,SARS-CoV-2_spike_protein_or_fragments,SARS-CoV-2_spike_protein,exacerbates,inflammation
https://neurosciencenews.com/files/2022/09/covid-brain-neurosicnes.jpg,Damaged_blood_vessels_and_lining,COVID-19,causes,damaged_blood_vessels
https://neurosciencenews.com/files/2022/09/covid-brain-neurosicnes.jpg,Damaged_blood_vessels_and_lining,Damaged_blood_vessels,cause,microclots
https://neurosciencenews.com/files/2022/09/covid-brain-neurosicnes.jpg,Damaged_blood_vessels_and_lining,Microclots,lead_to,strokes
https://neurosciencenews.com/files/2022/09/covid-brain-neurosicnes.jpg,Damaged_blood_vessels_and_lining,Microclots,lead_to,memory_problems
https://neurosciencenews.com/files/2022/09/covid-brain-neurosicnes.jpg,Damaged_blood_vessels_and_lining,Microclots,lead_to,other_complications
https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg,Olfactory_Bulb_Impact,COVID-19,affects,Olfactory_Bulb
https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg,Olfactory_Bulb_Impact,Olfactory_Bulb,leads_to,Hyposmia
https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg,Tongue_Impact,COVID-19,affects,Tongue
https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg,Tongue_Impact,Tongue,leads_to,Dysgeusia
https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg,Meningeal_Impact,COVID-19,affects,Meninges
https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg,Meningeal_Impact,Meninges,leads_to,Headache
https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg,Brain_Impact,COVID-19,affects,Brain
https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg,Brain_Impact,Brain,leads_to,Seizure
https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg,Brain_Impact,Brain,leads_to,Encephalitis
https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg,Brain_Impact,Brain,leads_to,Encephalopathy
https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg,Brain_Impact,Brain,leads_to,Dizziness
https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg,Systemic_Inflammation,COVID-19,causes,Viremia
https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg,Systemic_Inflammation,Viremia,releases,Cytokines
https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg,Systemic_Inflammation,Cytokines,include,IL6
https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg,Systemic_Inflammation,Cytokines,include,TNF-a
https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg,Systemic_Inflammation,Cytokines,lead_to,Fever
https://www.frontiersin.org/files/Articles/553331/fneur-11-00498-HTML/image_m/fneur-11-00498-g001.jpg,Systemic_Inflammation,Cytokines,lead_to,Altered_mental_status
https://cdnintech.com/media/chapter/82534/1512345123/media/F2.png,Mast_Cell_Activation,SARS-CoV-2_infection,via,olfactory_neurons
https://cdnintech.com/media/chapter/82534/1512345123/media/F2.png,Mast_Cell_Activation,Mast_Cell_Activation,leads_to,Increased_Neurological_Manifestation_of_SARS-CoV-2
https://cdnintech.com/media/chapter/82534/1512345123/media/F2.png,Activated_Microglia,IL-1β_IL6_TNFα_GM-CSF_IFN-γ_ROS_NO,activate,Microglia
https://cdnintech.com/media/chapter/82534/1512345123/media/F2.png,Activated_Microglia,Activated_Microglia,produce,Inflammatory_cytokines
https://cdnintech.com/media/chapter/82534/1512345123/media/F2.png,Neuroinflammation_and_Neurodegeneration,TLR4_LPS_MAPK_NF-κβ,cause,Aggregation_of_α-synuclein_to_form_amyloid_fibril
https://cdnintech.com/media/chapter/82534/1512345123/media/F2.png,Neuroinflammation_and_Neurodegeneration,Aggregation_of_α-synuclein_to_form_amyloid_fibril,leads_to,Degeneration_of_Neuron
https://cdnintech.com/media/chapter/82534/1512345123/media/F2.png,Endothelial_cell_Damage,Cytokine_Storm,causes,Endothelial_cell_Damage
https://cdnintech.com/media/chapter/82534/1512345123/media/F2.png,Endothelial_cell_Damage,Endothelial_cell_Damage,allows,Inflammatory_mediators_through_Blood_Brain_Barrier
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs13365-021-01014-7/MediaObjects/13365_2021_1014_Fig4_HTML.png,Olfactory_Entry,SARS-CoV-2,enters,olfactory_receptor_neurons
https://media.springernature.com/lw1200/springer-static/image/art%3A10.1007%2Fs13365-021-01014-7/MediaObjects/13365_2021_1014_Fig4_HTML.png,Olfactory_Entry,Olfactory_nerve,transmits,SARS-CoV-2_to_brain_cortex
